airtime,selected_mcs,txgain,pm_power
1.0,5,36,13.23118933
1.0,9,36,13.46685467
1.0,14,36,13.83007733
1.0,18,36,14.072304
1.0,23,36,14.66093733
1.0,0,36,13.134072
1.0,5,36,13.162808
1.0,9,36,13.41078267
1.0,14,36,13.87127733
1.0,18,36,13.99286
1.0,23,36,14.700016
1.0,0,36,13.140808
1.0,5,36,13.12938
1.0,9,36,13.47648933
1.0,14,36,13.87511867
1.0,18,36,14.057232
1.0,23,36,14.714684
1.0,0,35,13.00168
1.0,5,35,13.22654533
1.0,9,35,13.45439733
1.0,14,35,13.84080133
1.0,18,35,13.968152
1.0,23,35,14.77906933
1.0,0,35,13.12720533
1.0,5,35,13.14237333
1.0,9,35,13.478872
1.0,14,35,13.78346267
1.0,18,35,14.112328
1.0,23,35,14.78593333
1.0,0,35,12.97680133
1.0,5,35,13.30336933
1.0,9,35,13.48347067
1.0,14,35,13.80093333
1.0,18,35,14.16188667
1.0,23,35,14.81594533
1.0,0,35,13.83162
1.0,5,35,13.06464267
1.0,9,35,13.18789467
1.0,14,35,13.56276667
1.0,18,35,14.20215867
1.0,23,35,14.98625867
1.0,0,35,12.8819
1.0,5,35,12.94034667
1.0,9,35,13.10827733
1.0,14,35,13.604024
1.0,18,35,13.79274533
1.0,23,35,14.47249333
1.0,0,35,12.752688
1.0,5,35,13.006616
1.0,9,35,13.18624933
1.0,14,35,13.47545867
1.0,18,35,13.83396
1.0,23,35,14.52324933
1.0,0,34,13.00729067
1.0,5,34,13.29175867
1.0,9,34,13.36166667
1.0,14,34,13.84993467
1.0,18,34,14.11714933
1.0,23,34,14.81817067
1.0,0,34,13.08868
1.0,5,34,13.237564
1.0,9,34,13.34605333
1.0,14,34,13.92975333
1.0,18,34,14.019324
1.0,23,34,14.88168667
1.0,0,34,13.11053733
1.0,5,34,13.18138933
1.0,9,34,13.39176133
1.0,14,34,13.87630133
1.0,18,34,13.99822133
1.0,23,34,14.98675867
1.0,0,34,13.03706267
1.0,5,34,13.31174533
1.0,9,34,13.322236
1.0,14,34,13.81736533
1.0,18,34,14.11858667
1.0,23,34,14.78562533
1.0,0,34,13.14784667
1.0,5,34,13.16059333
1.0,9,34,13.418504
1.0,14,34,13.78464267
1.0,18,34,13.95358133
1.0,23,34,14.88741067
1.0,0,34,13.080436
1.0,5,34,13.092536
1.0,9,34,13.467412
1.0,14,34,13.80237467
1.0,18,34,14.075904
1.0,23,34,14.91965733
1.0,0,33,12.947988
1.0,5,33,13.30818933
1.0,9,33,13.41215733
1.0,14,33,13.750124
1.0,18,33,14.18287333
1.0,23,33,15.11247733
1.0,0,33,13.10070933
1.0,5,33,13.249604
1.0,9,33,13.29103733
1.0,14,33,13.83813467
1.0,18,33,14.138436
1.0,23,33,15.026188
1.0,0,33,13.11105333
1.0,5,33,13.19000667
1.0,9,33,13.44163733
1.0,14,33,13.78828267
1.0,18,33,14.17157467
1.0,23,33,14.96861467
1.0,0,33,13.12049333
1.0,5,33,13.168992
1.0,9,33,13.41723867
1.0,14,33,13.86705467
1.0,18,33,14.11668933
1.0,23,33,15.07108
1.0,0,33,13.03714
1.0,5,33,13.08932133
1.0,9,33,13.45709867
1.0,14,33,13.88716667
1.0,18,33,14.06680533
1.0,23,33,15.10091867
1.0,0,33,13.09891467
1.0,5,33,13.12758133
1.0,9,33,13.44582667
1.0,14,33,13.796764
1.0,18,33,14.12757067
1.0,23,33,15.021936
1.0,0,32,13.072596
1.0,5,32,13.13761867
1.0,9,32,13.396384
1.0,14,32,13.84438267
1.0,18,32,14.17295867
1.0,0,32,12.723488
1.0,5,32,13.05586133
1.0,9,32,13.08697067
1.0,14,32,13.60716133
1.0,18,32,14.09008533
1.0,0,32,12.84905067
1.0,5,32,12.860144
1.0,9,32,13.19063067
1.0,14,32,13.66052533
1.0,18,32,13.970496
1.0,0,32,12.797232
1.0,5,32,12.912504
1.0,9,32,13.21852933
1.0,14,32,13.47213067
1.0,18,32,14.02185333
1.0,0,32,12.80280667
1.0,5,32,12.80907067
1.0,9,32,13.17542933
1.0,14,32,13.58901733
1.0,18,32,13.92198933
1.0,0,32,12.88076
1.0,5,32,12.91834533
1.0,9,32,13.17492133
1.0,14,32,13.62848133
1.0,18,32,13.89283067
1.0,0,31,13.01260533
1.0,5,31,13.115028
1.0,9,31,13.42859467
1.0,14,31,13.788092
1.0,18,31,14.24951467
1.0,0,31,13.089352
1.0,5,31,13.096508
1.0,9,31,13.40626933
1.0,14,31,13.91130667
1.0,18,31,14.23102667
1.0,0,31,13.04350933
1.0,5,31,13.21506933
1.0,9,31,13.4245
1.0,14,31,13.886452
1.0,18,31,14.170796
1.0,0,31,13.11452267
1.0,5,31,13.158688
1.0,9,31,13.36021733
1.0,14,31,13.91814667
1.0,18,31,14.13674133
1.0,0,31,13.03610667
1.0,5,31,13.27802667
1.0,9,31,13.21759467
1.0,14,31,13.90351867
1.0,18,31,14.37042667
1.0,0,31,12.946376
1.0,5,31,13.32905733
1.0,9,31,13.39759867
1.0,14,31,13.805956
1.0,18,31,14.37577067
1.0,0,30,12.86876667
1.0,5,30,13.19668533
1.0,9,30,13.381972
1.0,14,30,13.754936
1.0,18,30,14.434524
1.0,0,30,13.03646267
1.0,5,30,13.041632
1.0,9,30,13.41641067
1.0,14,30,13.87074267
1.0,18,30,14.31887467
1.0,0,30,13.04940133
1.0,5,30,13.06141333
1.0,9,30,13.45866133
1.0,14,30,13.96533067
1.0,18,30,14.27243867
1.0,0,30,13.088864
1.0,5,30,13.180936
1.0,9,30,13.30295733
1.0,14,30,13.93527067
1.0,18,30,14.34741733
1.0,0,30,12.996568
1.0,5,30,13.20439467
1.0,9,30,13.27608133
1.0,14,30,13.96073467
1.0,18,30,14.372508
1.0,0,30,14.13551733
1.0,5,30,13.23554667
1.0,9,30,13.31912533
1.0,14,30,13.80398
1.0,18,30,14.435164
1.0,0,29,12.934864
1.0,5,29,13.26956933
1.0,9,29,13.32170133
1.0,14,29,13.90120267
1.0,18,29,14.959372
1.0,0,29,13.0707
1.0,5,29,13.17766933
1.0,9,29,13.32940267
1.0,14,29,13.929452
1.0,18,29,14.967992
1.0,0,29,13.04066667
1.0,5,29,13.112668
1.0,9,29,13.40981467
1.0,14,29,13.918192
1.0,18,29,14.91276667
1.0,0,29,13.11747733
1.0,5,29,13.09631467
1.0,9,29,13.48229467
1.0,14,29,13.97301733
1.0,18,29,14.932532
1.0,0,29,12.950844
1.0,5,29,13.27494667
1.0,9,29,13.456484
1.0,14,29,13.90381067
1.0,18,29,14.96030533
1.0,0,29,13.10133333
1.0,5,29,13.124324
1.0,9,29,13.47979467
1.0,14,29,13.90367467
1.0,18,29,14.88218533
1.0,0,28,12.99739867
1.0,5,28,13.115416
1.0,9,28,13.45400133
1.0,14,28,13.94844
1.0,0,28,12.71242133
1.0,5,28,13.02956533
1.0,9,28,13.02542533
1.0,14,28,13.84211333
1.0,0,28,13.96640533
1.0,5,28,12.96666533
1.0,9,28,13.927704
1.0,14,28,13.95146533
1.0,0,28,12.763184
1.0,5,28,12.95073867
1.0,9,28,12.96368267
1.0,14,28,13.84851333
1.0,0,28,12.778028
1.0,5,28,12.83995333
1.0,9,28,13.12367467
1.0,14,28,13.81085067
1.0,0,28,12.79160933
1.0,5,28,12.86701733
1.0,9,28,13.21425067
1.0,14,28,13.64357067
1.0,0,27,12.92819733
1.0,5,27,13.316652
1.0,9,27,13.4405
1.0,14,27,14.05982267
1.0,0,27,13.18210533
1.0,5,27,13.27685733
1.0,9,27,13.35621867
1.0,14,27,14.28370533
1.0,0,27,13.018324
1.0,5,27,13.16611333
1.0,9,27,13.446068
1.0,14,27,14.066328
1.0,0,27,13.13381067
1.0,5,27,13.19475867
1.0,9,27,13.40885733
1.0,14,27,14.22414267
1.0,0,27,12.99189733
1.0,5,27,13.28687333
1.0,9,27,13.34296533
1.0,14,27,14.08551333
1.0,0,27,13.10859333
1.0,5,27,13.576184
1.0,9,27,13.97568933
1.0,14,27,14.201476
1.0,0,26,12.84377733
1.0,5,26,13.251012
1.0,9,26,13.3413
1.0,14,26,14.25296533
1.0,0,26,13.112016
1.0,5,26,13.08740133
1.0,9,26,13.381116
1.0,14,26,14.372224
1.0,0,26,12.868048
1.0,5,26,13.21346
1.0,9,26,13.337584
1.0,14,26,14.22921467
1.0,0,26,13.09465733
1.0,5,26,13.098304
1.0,9,26,13.392688
1.0,14,26,14.36589067
1.0,0,26,12.94695733
1.0,5,26,13.189712
1.0,9,26,13.22424933
1.0,14,26,14.34612933
1.0,0,26,13.00927733
1.0,5,26,13.05688667
1.0,9,26,13.45891333
1.0,14,26,14.22209733
1.0,0,25,13.08735867
1.0,5,25,13.11652133
1.0,9,25,13.41145867
1.0,0,25,12.870776
1.0,5,25,13.01339067
1.0,9,25,13.06847067
1.0,0,25,12.83664133
1.0,5,25,12.98003867
1.0,9,25,13.11023733
1.0,0,25,12.80989867
1.0,5,25,13.01434133
1.0,9,25,13.088332
1.0,0,25,12.81245867
1.0,5,25,13.019844
1.0,9,25,13.09029867
1.0,0,25,12.88571733
1.0,5,25,13.01544533
1.0,9,25,13.13643733
1.0,0,24,13.182808
1.0,5,24,14.24066
1.0,9,24,13.61935867
1.0,0,24,13.901844
1.0,5,24,13.27447467
1.0,9,24,14.54680533
1.0,0,24,13.09124267
1.0,5,24,13.31020267
1.0,9,24,13.39997467
1.0,0,24,13.13596
1.0,5,24,13.17177733
1.0,9,24,13.44798267
1.0,0,24,13.115928
1.0,5,24,13.07594933
1.0,9,24,13.548652
1.0,0,24,12.99373733
1.0,5,24,13.12185333
1.0,9,24,13.55256
1.0,0,23,12.879232
1.0,5,23,13.296084
1.0,9,23,13.414592
1.0,0,23,13.02614933
1.0,5,23,13.2481
1.0,9,23,13.366584
1.0,0,23,13.099028
1.0,5,23,13.16267867
1.0,9,23,13.42804667
1.0,0,23,13.09547333
1.0,5,23,13.0963
1.0,9,23,13.54901067
1.0,0,23,13.02796267
1.0,5,23,13.12893733
1.0,9,23,13.63869867
1.0,0,23,12.981996
1.0,5,23,13.18811067
1.0,9,23,13.40488267
1.0,0,22,13.047704
1.0,5,22,13.191504
1.0,9,22,13.67621067
1.0,0,22,12.95022133
1.0,5,22,13.297608
1.0,9,22,13.64729067
1.0,0,22,12.88770933
1.0,5,22,13.309796
1.0,9,22,13.59886533
1.0,0,22,13.005016
1.0,5,22,13.302456
1.0,9,22,13.45173333
1.0,0,22,13.06111333
1.0,5,22,13.28935467
1.0,9,22,13.46636133
1.0,0,22,13.09818533
1.0,5,22,13.22608
1.0,9,22,13.52607333
1.0,0,21,12.99183067
1.0,5,21,13.25072267
1.0,9,21,13.79197867
1.0,0,21,12.93863067
1.0,5,21,13.37699867
1.0,9,21,13.69641867
1.0,0,21,13.07263067
1.0,5,21,13.30601333
1.0,9,21,13.67480133
1.0,0,21,13.03874267
1.0,5,21,13.238164
1.0,9,21,13.76498
1.0,0,21,13.09671467
1.0,5,21,13.121988
1.0,9,21,13.785364
1.0,0,21,12.982356
1.0,5,21,13.24694533
1.0,9,21,13.81140267
1.0,0,20,12.89686
1.0,5,20,13.372116
1.0,0,20,12.747312
1.0,5,20,12.85988933
1.0,0,20,12.82217067
1.0,5,20,12.90236533
1.0,0,20,12.788244
1.0,5,20,12.89130533
1.0,0,20,12.826448
1.0,5,20,12.95815333
1.0,0,20,12.73514533
1.0,5,20,12.94131333
1.0,0,74,13.35191333
1.0,5,74,13.64964133
1.0,9,74,13.85624533
1.0,14,74,14.151312
1.0,18,74,14.58562267
1.0,23,74,15.02991333
1.0,0,74,13.53448667
