airtime,selected_mcs,mean_used_mcs,mean_snr,pm_power
0.6000000000000001,23,23.0,33.428000000000004,11.844660000000005
0.5,23,23.0,33.264,12.12571
0.3999999999999999,23,23.0,33.36000000000001,11.786930000000002
0.3,23,23.0,33.136,10.84567
0.1999999999999999,23,23.0,33.157999999999994,10.82959
0.0999999999999999,23,22.996,31.892000000000003,10.852220000000004
0.01,23,23.0,30.494,10.596699999999998
1.0,23,23.0,34.136,12.9286
0.9,23,23.0,34.112,13.30136
0.7999999999999998,23,23.0,34.087999999999994,12.322430000000002
0.7000000000000002,23,23.0,33.964,11.941670000000002
0.6000000000000001,23,23.0,34.006,12.55062
0.5,23,23.0,34.05,11.762250000000003
0.3999999999999999,23,22.994,34.084,11.712089999999998
0.3,23,23.0,33.674,11.325899999999995
0.1999999999999999,23,22.986,33.098,10.64451
